fpr,tpr,threshold
0.010666666666666666,0.442,0.5833333333333334
0.010666666666666666,0.454,0.58
0.010666666666666666,0.48,0.5766666666666667
0.010666666666666666,0.5073333333333333,0.5733333333333334
0.012,0.5506666666666666,0.57
0.012,0.5933333333333334,0.5666666666666667
0.012,0.6386666666666667,0.5633333333333334
0.012,0.6886666666666666,0.56
0.012666666666666666,0.7386666666666667,0.5566666666666666
0.012666666666666666,0.784,0.5533333333333333
0.012666666666666666,0.8186666666666667,0.55
0.013333333333333334,0.8513333333333334,0.5466666666666666
0.013333333333333334,0.876,0.5433333333333333
0.013333333333333334,0.8906666666666667,0.54
0.014,0.9073333333333333,0.5366666666666666
0.014666666666666666,0.9206666666666666,0.5333333333333333
0.014666666666666666,0.9293333333333333,0.53
0.014666666666666666,0.9373333333333334,0.5266666666666666
0.015333333333333332,0.9446666666666667,0.5233333333333333
0.015333333333333332,0.9493333333333334,0.52
0.015333333333333332,0.9546666666666667,0.5166666666666667
0.015333333333333332,0.9593333333333334,0.5133333333333333
0.015333333333333332,0.962,0.51
0.015333333333333332,0.9666666666666667,0.5066666666666667
0.016,0.968,0.5033333333333333
0.016,0.97,0.5
0.016,0.9726666666666667,0.4966666666666666
0.016666666666666666,0.9753333333333334,0.4933333333333333
0.016666666666666666,0.9773333333333334,0.49
0.017333333333333333,0.9806666666666667,0.4866666666666667
0.017333333333333333,0.9846666666666667,0.4766666666666667
0.017333333333333333,0.9873333333333333,0.4733333333333333
0.017333333333333333,0.9893333333333333,0.4666666666666667
0.017333333333333333,0.9906666666666667,0.4633333333333333
0.018,0.9913333333333333,0.46
0.018,0.9926666666666667,0.4466666666666666
0.018666666666666668,0.9926666666666667,0.4433333333333333
0.018666666666666668,0.994,0.44
0.02,0.994,0.4333333333333333
0.022,0.994,0.43
0.02266666666666667,0.994,0.4233333333333333
0.02266666666666667,0.9946666666666667,0.42
0.024666666666666667,0.9946666666666667,0.3933333333333333
0.026,0.9946666666666667,0.3833333333333333
0.027333333333333334,0.996,0.3733333333333333
0.029333333333333333,0.996,0.3433333333333333
0.030666666666666665,0.996,0.3333333333333333
0.032,0.996,0.3266666666666666
0.03333333333333333,0.9966666666666667,0.32
0.03333333333333333,0.9986666666666667,0.2833333333333333
0.035333333333333335,0.9986666666666667,0.2633333333333333
0.03666666666666667,0.9986666666666667,0.26
0.03866666666666667,0.9986666666666667,0.2433333333333333
0.04,0.9986666666666667,0.2366666666666666
0.04066666666666666,0.9986666666666667,0.2333333333333333
0.042,0.9986666666666667,0.2266666666666666
0.044,0.9986666666666667,0.2166666666666666
0.04466666666666667,0.9993333333333333,0.2133333333333333
0.046,0.9993333333333333,0.2
0.046,1.0,0.1966666666666666
0.054,1.0,0.0433333333333333
0.056,1.0,0.0366666666666666
0.058666666666666666,1.0,0.03
0.059333333333333335,1.0,0.0266666666666666
0.06266666666666666,1.0,0.0233333333333333
0.06733333333333333,1.0,0.02
0.074,1.0,0.0166666666666666
0.08266666666666667,1.0,0.0133333333333333
0.08933333333333333,1.0,0.01
0.124,1.0,0.0066666666666666
0.236,1.0,0.0033333333333333
1.0,1.0,0.0
