fpr,tpr,threshold
0.0013333333333333333,0.22933333333333333,0.99972802400589
0.0013333333333333333,0.23133333333333334,0.999727189540863
0.0013333333333333333,0.24533333333333332,0.9997078776359558
0.0013333333333333333,0.24666666666666667,0.9997076392173768
0.0013333333333333333,0.25266666666666665,0.9996919631958008
0.0013333333333333333,0.254,0.9996907711029052
0.0013333333333333333,0.25733333333333336,0.9996844530105592
0.0013333333333333333,0.25866666666666666,0.9996840953826904
0.0013333333333333333,0.264,0.9996784925460817
0.0013333333333333333,0.2653333333333333,0.9996731281280518
0.0013333333333333333,0.2786666666666667,0.999645471572876
0.0013333333333333333,0.28,0.9996404647827148
0.0013333333333333333,0.29733333333333334,0.9996127486228944
0.0013333333333333333,0.2986666666666667,0.9996113181114196
0.002,0.2986666666666667,0.9996101260185242
0.002,0.304,0.9996035695075988
0.002,0.30533333333333335,0.999601662158966
0.002,0.32666666666666666,0.9995535016059875
0.002,0.328,0.9995502829551696
0.002,0.35733333333333334,0.9994751811027528
0.002,0.3586666666666667,0.9994750618934632
0.002,0.3606666666666667,0.9994691014289856
0.002,0.362,0.9994649291038512
0.002,0.36666666666666664,0.9994497895240784
0.002,0.368,0.9994495511054992
0.002,0.372,0.9994327425956726
0.002,0.37333333333333335,0.9994304776191713
0.002,0.404,0.9993342757225036
0.002,0.4053333333333333,0.9993270635604858
0.002,0.412,0.999305009841919
0.002,0.41333333333333333,0.9993029832839966
0.002,0.4266666666666667,0.99924635887146
0.002,0.428,0.9992458820343018
0.002,0.49333333333333335,0.9989644289016724
0.0026666666666666666,0.49333333333333335,0.9989598989486694
0.0026666666666666666,0.508,0.9988570213317872
0.0026666666666666666,0.5093333333333333,0.9988532066345216
0.0026666666666666666,0.5166666666666667,0.9988351464271544
0.0033333333333333335,0.5166666666666667,0.9988312125205994
0.0033333333333333335,0.5253333333333333,0.9987706542015076
0.0033333333333333335,0.5266666666666666,0.9987702965736388
0.0033333333333333335,0.5293333333333333,0.9987412095069884
0.0033333333333333335,0.5306666666666666,0.9987388253211976
0.0033333333333333335,0.552,0.998621940612793
0.0033333333333333335,0.5533333333333333,0.9986200332641602
0.0033333333333333335,0.5753333333333334,0.9984501600265504
